您好什么可以帮您 我帮您检查一下您稍等一下其实是那个三十块五百兆嘛我看了一下这个比较早开通了如果这个不要可以取消 
请您好什么帮您诶您好 我看一下噢先生您这边新入网的时候您当时去年八月份就是三十八元的套餐呀 
您好很高兴为您服务 稍等我帮您看一下噢您说的是那个手机阅读吗那您这是一个手机阅读帮您取您是不需要这个我帮您取消吧 
你好很高兴您服务 你好 
您好很高兴为您服务喂你好恩你好 您稍等我帮您查看一下噢恩好稍等 
你好很高兴为您服务 嗯 
您好请讲 你好 
您好请讲你好 噢好稍等一下噢那是本身有办理一个包月四十元的如果不要我现在帮您取消 
您好请讲 全球通 
啊您好很高兴服务 校讯通对啊这个就取消开通这样您看要取消掉吗 
您好请讲 好的您稍等我看一下上个月的扣费是不是啊 
您好请说您好我因为前两个月我就打电话给你们那边噢呃就是说那个什么每个月什么咪咕音乐啊每个月都要扣六块钱的不是给我扣了多少个月了每个月都给我扣但是我从来没有开通这个业务以前两个月我就反映过这个问题了结果还在给我扣你说的是咪咕六块钱是吧 办一下没有开啦哎 
您好高兴为您服务 诶请讲 
您好什么可以帮助您 之前是您自己去申请的吗 
您好您请说有什么可以帮到您 恩好为您查看北京六度畅游网络技术这个是吗 
您好请说 公司扣款您是收到短信是吗 
您好请讲 恩马上帮您查询感谢耐心等待那这边帮您查询的话您说的这个它这个五十块钱全部由我们公司出的就当时那个幺三九套餐的时候它有多送你一g的那个流量 
你那您好高兴您服务您好我刚才在那个手机查询那个 那就这样 
支付宝您好请讲再见您好 呃你好你帮我那个刚刚 
诶您好 诶您好请说 
嗯您好请讲 嗯嗯 
您好您说 另外一部手机的彩印 
您好请讲 就说您当时八四八套餐的时候它这边跟您说没有开通其他的业务 
您好高兴您服务 对啊您是下个月改成幺三八套餐呢可以在龙岩本地流量不限量用的您这边有没有呢 
您好请说 你好 
噢我这边帮您看到您的套餐是十八块钱一个月的然后套餐外的话就是有那个呃流量的话一共是六百兆的省内流量那个是赠送的这个您不用花钱开通的然后其他业务的话我也帮您查了呀您这边嗯也没有开通什么其他收费业务啊 噢套餐外上网的话那个是原因是您的流量超过的噢流量超了上产生的费用 
您好请说 嗯 
嗯您查询有有扣什么钱吗 呃您手机没有开彩铃啊您什么时候看到有开彩铃的 
您好很高兴为您服务 稍等一下您不要挂机 
您好很高兴为您服务您好 刚刚办的下午一点多 
哎您好请讲 噢那是校讯通的这个如果您不需要可以帮您关掉 
您好请说 我帮您看稍等一下 
你好 什么来电啊什么东西啊我查一下哈 
您好请讲 什么有和留言什么意思啊啊什么业务 
哦 您好请讲 
您好请讲 呃可以啊我看一下您稍等一下 
您好请讲 噢彩印啊您那个噢彩印业务的话我看一下噢它是送的虽然说有扣钱噢但它有等额返还还有几个也是送到那个还有一个是咪咕会员还有一个是来电提醒这三项噢这三项的话都有扣但是都有等额返还给您我帮您申请到期自动帮您取消掉吧自己算好吗 
您好请讲 我帮您查一下噢请稍等一下啊我刚刚他是学校的学校那个校讯通这方面的东西短信请稍等 
您好请说 夜间流量吗 
下午好很高兴为您服务 先生您好请稍等我帮您马上查一下不好意思 
下午好 女士您本机号码没有办宽带是吗 
您好很高兴为您服务 您好 
你好请讲 女士您这个号码有办理移动的宽带啊每个月有返还给您二十块钱话费呃每个月返还十块钱话费的活动您自己没有办吗 
你好请说 哦您好 
您好很高兴为您服务 啊您好请说我我想我想问一下除了七十九块的那个基础套餐这么多 
您好请说 八零营业厅您噢那个是送的没收费的 
你好 我看一下行 
你好 噢您拨打幺二五三零去改 
啊您好很高兴为您服务 呃这个号码没有流量它这边是正常去用流量的一兆两毛九都用了六十九块钱 
您好请说 您好 
您好请说喂你好 那个 
你好 您是来电提醒吗 
您好请讲 彩铃稍等帮您看一下呃您这边是申请了一个季度包的剩一个季度的一个送一个季度的一个彩铃给您啊 
您好很高兴为您服务 咪咕音乐那个是送您的要取消吗 
您好很高兴为您服务 呃呃您这部电话吗 
您好请讲 我给您看一下 
