一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 
您好请讲 你好 
您好请讲 省内流量是吧对返四百八十八元套餐五g流量现在办理通话 
诶您好呃您好我想咨询一下就说你们到香港是不是有一种业务是流量加那个分钟的那种套餐的包有啊那您去香港几天呢 两天那边的话是这样的如果您需要加语音的话五天是一百二十八块钱 
您好很高兴为您服务 您好有什么需要帮助的嗯 
你好有什么可以帮您诶你好 流量包现在是您听一下公司有做一个活动是这样的里面六十块钱有六g六g在办里面都可以使用 
呃流量包在香港不能用在香港是要另外计费的您是要去香港是吗 呃两两天就不用开了您到那边有用它是按按照三块钱一天是封顶三十块的然后在当地使用流量不限量 
嗯哼你好请说 嗯你好 
流量套餐比较优惠有个六十块钱六个g的流量它这个一百八十天之内都可以使用 你如果说自动取消呢只有加油包啦加油包只有一种十块钱一百兆下个月一号会自动取消 
诶您好很高兴为您服务请说 噢就是说先生您好下个月他帮您改为那个新飞享三十八了就流量增加了输入也增加了就是帮您换一种升级版的新飞享三十八了价格不变就帮您全部都已经升级到了 
您好请讲 它是国内三百分钟本地打国内九百分钟 
很高兴您服务您好 呃他每个月会送给您四百分钟打电话三个g流量对 
您好请说 香港套餐没有车去香港漫游让你自己过来啊香港漫游的这些好您先生 
您好请说喂你好 现在有三百分钟 
您好请讲 呃您现在这个五十八套餐里面一百分钟五百兆流量都是全国通用的 
您好请讲有 不用开两城一家因为现在已经取消全国漫游费了 
啊你好请讲 套餐自带只有六百兆流量 
早上好很高兴为您服务 流量包那您这边的话今天开的话您可以按天折算开原价是三十元那今天开的话是赠送您大概六百多兆就收您十几块钱也是大概要多少多少兆流量的是这个月用还是说接下来每个月都要 
早上好 有什么可以帮您 
很高兴为您服务 恩你好 
您好请讲 语音通话跟国内主叫通话没区别一样的呀怎么了吗 
您好您请讲 无限流量它只有校园服务区才有了向阳您校园套餐有个二十块钱的 
下午好请讲 恩 
你好请讲 流量优惠的呃是有有一个是流量做活动的有六十元有六个g的流量您这已经开过了 
您好 嗯二十八的一个飞享套餐每月一百分钟三百兆流量然后下个月转了一个三十八的新飞享套餐 
你好 请稍等一下这个月使用的家园卡本身这个家园卡套餐里头没有流量那下个月开始我看到您改为三十八块钱的套餐了下个月开始呢您每个月就有一点五个g的流量了 
哎您好请讲 嗯是啊有这个套餐的 
您好请说 噢这个国内流量它就只有五百兆的 
您好请说 您是要添加流量套餐是吗 
嗯嗯嗯嗯嗯您好 呃现在到月底了就只剩几天啊您大概要多少兆 
您好高兴为您服务 加点流量 
对您好请讲 您到香港大多久呢 
您好请讲 电话对十块钱有一百兆的还有三十块钱呃您三十块的已经开过了那现在就开十块钱一百兆的 
需要 您好请讲 
您好请讲 像您这张卡对象订了一个三十元五百兆这个可以考虑取消然后现在比较流呃比较现在比较高的就是那个六十元六个g的就您之前订购一个六十元十二个g的然后如果你用完了话您可以再订一个这个订六十元六个g了因为它这个比你那个三十元五百兆划算因为什呃六十元六个g平均过去十元一个g了那你再去订那个三十元五百兆之前比较贵了现在比比较低了您的三十元五百兆可以考虑取消掉然后接着订是六个g 
你好 哎 
您好很高兴为您服务哎你 你好 
哎您好请讲 我看一下您这边的话是一个叫做集团网每个月三块钱有一个三百分钟拨打集团网的电话免费 
很高兴为您服务哎 比如说您这张卡现在目前是呃要流量多一些的是吧 
嗯嗯 喂您好美女我想请问一下有没有 
