您好请说你好可以听得到吗嗯您说 呃请问一下我以前有一个送一台什么宽带什么啊哎呀怎么没给我装呢 这个号码吗 对啊这个号码你帮我查一下都都过去掉了 是这样的先生我帮您看了一下您这个号码没有宽带了如果您想安装宽带我们有个宽带新装部门我可以帮您转接 不要不要要钱的不要我那个是哎它是那个几点的时候给我 
您好请说您好 诶请问一下啊哎我那个宽带有送我一台那个宽带的机有没有没给我安装啊 哪个号码有送宽带 啊 什么号码有送宽带给您就您现在这个号码吗 对啊就是我这个手机号码 
早上好 用我这升级的那种升级了那个七十七十九块钱的那种套餐转到无线网吗 呃先生您这个套餐就是七十九的您是下个月改成三十八的 不是我我交了七十九七十九叫叫别人的到那个宽带没来装呢 二就是没有人来装然后您下个月改成三十八元的这种套餐了 先跟我们我就没人来装我我也不那个钱吗 
听到更行诶你好哎是这样的我跟你问一下就是呃我就这几个月好像基本上隔隔一两天都会收到那个 就是中国移动的但是是手机号的就推销那些套餐的服务不知道说 你们官方的应该会通过 座机或者一般都是幺零零八六干嘛就是说你能不能说主要是我的营销了因为我自己以前上过套餐了那有一些新的资费的话我觉得就不要重复营销因为确实倒是上门的时候接到挺多的 嗯您是接到什么电话给您拨打的还是说不同的号码拨打的都是不懂的时候之后出门的时候如果有不同的那种 来推销那些 
你好为您服务 我操你们这是幺零零八六怎么那么难打通话 今天早上比较多用同时间拨打人工台新咨询问题那非常抱歉让您久等 你帮我马上开机一下他们的钱的流量两块钱你又给我停了我 在 忙马上给我开机吧 
您好请说 哎就是我那个停办了什么一百三十九那装宽带怎么怎么还没过去装啊 是说您登记的移动宽带但是还没给您装是吧 其他全都帮我扣了 反正没听那你有没有师傅跟你联系过了都没有联系过银行找联系过后面都不联系了 这事很奇怪啊 
您好请讲 喂你好 有什么可以帮您 我们这边宽带都修了两三天什么时候能修好 帮您转接我们宽带专家本机号码是吗二六嗯稍等一下转接中 
您好请说 你们那幺零零八六幺幺毛病啊我们有没欠你话费早上推什么话费啊 噢先生我帮您看一下啊您是说它短信发给您还是说电话还是给您打呢 电话 噢那您放心这边我帮您提呃就是修改一下因为他可能就是说有电话提醒这样的我帮您把它关掉就没有了好吗首先跟您道歉一下的啊 我 
您好请说 嗯诶我想问一下噢就是我十五号有打电话那个就是宽带移机嘛噢 嗯嗯 然后怎么到现在都没有 为您联系过是吗具体的本机号码办的申请的是吗好我马上看一下您稍等 开 
您好很高兴为您服务 啊你好诶我是我另外一个手机号幺三五幺三八零八五二二零三七这个电话噢嗯已经跟你们反映过了你们说要帮我解决 都好几天的密码知道吗 啊 密码知不知道 不知道 
您好很高兴服务 喂你好 嗯 诶我这边跟你们打过电话这个这一个电视都没有信号怎么说受理到现在了差不多半个月的为什么都还没有还是一样的噢非常抱歉帮您查询一下哎 对方这个交城区副号是家这边的话没信号的问题啊稍等一下 这样你们一早就跟你们讲过你们老是电话打来咨询最近都没有处理 
